Company name,ASX code,GICS industry group
ENERGY ACTION LIMITED,EAX,Commercial & Professional Services
ENERGY METALS LTD,EME,Energy
ENERGY ONE LIMITED,EOL,Software & Services
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA,Energy
ENERGY WORLD CORPORATION LTD,EWC,Utilities
ENERO GROUP LIMITED,EGG,Media & Entertainment
ENGAGE:BDR LIMITED,EN1,Media & Entertainment
ENGENCO LIMITED,EGN,Capital Goods
ENTERPRISE METALS LIMITED,ENT,Materials
ENVIROSUITE LIMITED,EVS,Software & Services
EON NRG LIMITED,E2E,Energy
EQT HOLDINGS LIMITED,EQT,Diversified Financials
EQUUS MINING LIMITED,EQE,Materials
ERM POWER LIMITED,EPW,Utilities
ESENSE-LAB LTD,ESE,"Pharmaceuticals, Biotechnology & Life Sciences"
ESERVGLOBAL LIMITED,ESV,Software & Services
ESTIA HEALTH LIMITED,EHE,Health Care Equipment & Services
ESTRELLA RESOURCES LIMITED,ESR,Materials
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate
EURO MANGANESE INC,EMN,Materials
EUROPEAN COBALT LTD,EUC,Materials
EUROPEAN LITHIUM LIMITED,EUR,Materials
EUROPEAN METALS HOLDINGS LIMITED,EMH,Materials
EUROZ LIMITED,EZL,Diversified Financials
EVANS & PARTNERS ASIA FUND,EAF,Not Applic
EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND,EFF,Not Applic
EVANS & PARTNERS GLOBAL DISRUPTION FUND,EGD,Not Applic
EVANS & PARTNERS GLOBAL FLAGSHIP FUND,EGF,Not Applic
EVANS DIXON LIMITED,ED1,Diversified Financials
EVE INVESTMENTS LIMITED,EVE,Diversified Financials
EVENT HOSPITALITY AND ENTERTAINMENT LTD,EVT,Media & Entertainment
EVOLUTION MINING LIMITED,EVN,Materials
EVOLVE EDUCATION GROUP LIMITED,EVO,Consumer Services
EXOPHARM LIMITED,EX1,"Pharmaceuticals, Biotechnology & Life Sciences"
EXORE RESOURCES LTD,ERX,Materials
EXPERIENCE CO LIMITED,EXP,Consumer Services
FACTOR THERAPEUTICS LIMITED,FTT,"Pharmaceuticals, Biotechnology & Life Sciences"
FAMILY ZONE CYBER SAFETY LIMITED,FZO,Software & Services
FAR LIMITED,FAR,Energy
FARM PRIDE FOODS LIMITED,FRM,"Food, Beverage & Tobacco"
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC,Not Applic
FATFISH BLOCKCHAIN LIMITED,FFG,Diversified Financials
FBR LTD,FBR,Capital Goods
FE LIMITED,FEL,Materials
FENIX RESOURCES LTD,FEX,Materials
FERTOZ LIMITED,FTZ,Materials
FIDUCIAN GROUP LIMITED,FID,Diversified Financials
FIN RESOURCES LIMITED,FIN,Materials
FINBAR GROUP LIMITED,FRI,Real Estate
FINTECH CHAIN LIMITED,FTC,Software & Services
FIRST COBALT CORP.,FCC,Materials
FIRST GRAPHENE LIMITED,FGR,Materials
FIRSTWAVE CLOUD TECHNOLOGY LIMITED,FCT,Software & Services
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services
FLAMINGO AI LIMITED,FGO,Software & Services
FLEETWOOD CORPORATION LIMITED,FWD,Consumer Durables & Apparel
FLETCHER BUILDING LIMITED,FBU,Materials
FLEXIGROUP LIMITED,FXL,Diversified Financials
FLEXIROAM LIMITED,FRX,Telecommunication Services
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,Consumer Services
FLINDERS MINES LIMITED,FMS,Materials
FLUENCE CORPORATION LIMITED,FLC,Capital Goods
FOCUS MINERALS LTD,FML,Materials
FORAGER AUSTRALIAN SHARES FUND,FOR,Not Applic
FORCE COMMODITIES LIMITED,4CE,Materials
FORTESCUE METALS GROUP LTD,FMG,Materials
FREEDOM FOODS GROUP LIMITED,FNP,"Food, Beverage & Tobacco"
FREEDOM OIL AND GAS LTD,FDM,Energy
FREEHILL MINING LIMITED.,FHS,Materials
FREELANCER LIMITED,FLN,Commercial & Professional Services
FREMONT PETROLEUM CORPORATION LIMITED,FPL,Energy
FRONTIER DIGITAL VENTURES LIMITED,FDV,Media & Entertainment
FRONTIER RESOURCES LIMITED,FNT,Materials
FSA GROUP LIMITED,FSA,Diversified Financials
FUNTASTIC LIMITED,FUN,Retailing
FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED,FGG,Not Applic
FUTURE GENERATION INVESTMENT COMPANY LIMITED,FGX,Not Applic
G MEDICAL INNOVATIONS HOLDINGS LIMITED,GMV,Health Care Equipment & Services
G.U.D. HOLDINGS LIMITED,GUD,Automobiles & Components
G8 EDUCATION LIMITED,GEM,Consumer Services
GAGE ROADS BREWING CO LIMITED,GRB,"Food, Beverage & Tobacco"
GALAN LITHIUM LIMITED,GLN,Materials
GALAXY RESOURCES LIMITED,GXY,Materials
GALE PACIFIC LIMITED,GAP,Consumer Durables & Apparel
GALENA MINING LIMITED,G1A,Materials
GALILEE ENERGY LIMITED,GLL,Energy
GALILEO MINING LTD,GAL,Materials
GARDA DIVERSIFIED PROPERTY FUND,GDF,Real Estate
GAS2GRID LIMITED,GGX,Energy
GATEWAY MINING LIMITED,GML,Materials
GBST HOLDINGS LIMITED,GBT,Software & Services
GDI PROPERTY GROUP,GDI,Real Estate
GENERATION DEVELOPMENT GROUP LIMITED,GDG,Insurance
GENESIS ENERGY LIMITED,GNE,Utilities
GENESIS MINERALS LIMITED,GMD,Materials
GENETIC SIGNATURES LIMITED,GSS,"Pharmaceuticals, Biotechnology & Life Sciences"
GENETIC TECHNOLOGIES LIMITED,GTG,"Pharmaceuticals, Biotechnology & Life Sciences"
GENEX POWER LIMITED,GNX,Utilities
GENTRACK GROUP LIMITED,GTK,Software & Services
GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,GMA,Banks
GEOPACIFIC RESOURCES LTD,GPR,Materials
GETSWIFT LIMITED,GSW,Software & Services
GIBB RIVER DIAMONDS LIMITED,GIB,Materials
GINDALBIE METALS LTD,GBG,Materials
GLADIATOR RESOURCES LIMITED,GLA,Materials
GLENNON SMALL COMPANIES LIMITED,GC1,Not Applic
GLOBAL ENERGY VENTURES LIMITED,GEV,Energy
GLOBAL HEALTH LIMITED,GLH,Health Care Equipment & Services
GLOBAL MASTERS FUND LIMITED,GFL,Not Applic
GLOBAL PETROLEUM LIMITED,GBP,Energy
GLOBAL VALUE FUND LIMITED,GVF,Not Applic
GLOBAL VANADIUM LIMITED,GLV,Energy
GLOBE INTERNATIONAL LIMITED,GLB,Consumer Durables & Apparel
GLOBE METALS & MINING LIMITED,GBE,Materials
GME RESOURCES LIMITED,GME,Materials
GOLD MOUNTAIN LIMITED,GMN,Materials
GOLD ROAD RESOURCES LIMITED,GOR,Materials
GOLDEN MILE RESOURCES LTD,G88,Materials
GOLDEN STATE MINING LIMITED,GSM,Materials
GOODMAN GROUP,GMG,Real Estate
GOOROO VENTURES LIMITED,GOO,Software & Services
GPT GROUP,GPT,Real Estate
GR ENGINEERING SERVICES LIMITED,GNG,Materials
GRAINCORP LIMITED,GNC,"Food, Beverage & Tobacco"
GRAND GULF ENERGY LIMITED,GGE,Energy
GRANGE RESOURCES LIMITED.,GRR,Materials
GRAPHEX MINING LIMITED,GPX,Materials
GREAT WESTERN EXPLORATION LIMITED.,GTE,Materials
GREENLAND MINERALS LIMITED,GGG,Materials
GREENPOWER ENERGY LIMITED,GPP,Energy
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,Real Estate
GRYPHON CAPITAL INCOME TRUST,GCI,Not Applic
GTN LIMITED,GTN,Media & Entertainment
GULF MANGANESE CORPORATION LIMITED,GMC,Materials
GULLEWA LIMITED,GUL,Materials
GWA GROUP LIMITED.,GWA,Capital Goods
GWR GROUP LIMITED,GWR,Materials
HAMMER METALS LIMITED,HMX,Materials
HANNANS LTD,HNR,Materials
HANSEN TECHNOLOGIES LIMITED,HSN,Software & Services
HARRIS TECHNOLOGY GROUP LIMITED,HT8,Retailing
HARVEY NORMAN HOLDINGS LIMITED,HVN,Retailing
HASTINGS TECHNOLOGY METALS LTD,HAS,Materials
HAVILAH RESOURCES LIMITED,HAV,Materials
HAWKSTONE MINING LIMITED,HWK,Materials
HAWTHORN RESOURCES LIMITED,HAW,Materials
HAZER GROUP LIMITED,HZR,Materials
HEALIUS LIMITED,HLS,Health Care Equipment & Services
HEARTS AND MINDS INVESTMENTS LIMITED,HM1,Not Applic
HELIOS ENERGY LTD,HE8,Energy
HELIX RESOURCES LIMITED,HLX,Materials
HELLOWORLD TRAVEL LIMITED,HLO,Consumer Services
HERAMED LIMITED,HMD,Health Care Equipment & Services
HERON RESOURCES LIMITED,HRR,Materials
HEXAGON RESOURCES LIMITED,HXG,Materials
HGL LIMITED,HNG,Capital Goods
HHY FUND,HHY,Not Applic
HIGH PEAK ROYALTIES LIMITED,HPR,Energy
HIGHFIELD RESOURCES LIMITED,HFR,Materials
HILLS LIMITED,HIL,Technology Hardware & Equipment
HITECH GROUP AUSTRALIA LIMITED,HIT,Commercial & Professional Services
HOMESTAY CARE LIMITED,HSC,Software & Services
HORIZON OIL LIMITED,HZN,Energy
HOT CHILI LIMITED,HCH,Materials
HOTCOPPER HOLDINGS LIMITED,HOT,Media & Entertainment
HOTEL PROPERTY INVESTMENTS,HPI,Real Estate
HRL HOLDINGS LTD,HRL,Commercial & Professional Services
HT&E LIMITED,HT1,Media & Entertainment
HUB24 LIMITED,HUB,Diversified Financials
HUON AQUACULTURE GROUP LIMITED,HUO,"Food, Beverage & Tobacco"
HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,HTA,Telecommunication Services
HYDRIX LIMITED,HYD,Technology Hardware & Equipment
HYLEA METALS LIMITED,HCO,Materials
ICANDY INTERACTIVE LIMITED,ICI,Media & Entertainment
ICAR ASIA LIMITED,ICQ,Media & Entertainment
ICOLLEGE LIMITED,ICT,Consumer Services
ICON ENERGY LIMITED,ICN,Energy
ICSGLOBAL LIMITED,ICS,Health Care Equipment & Services
IDENTITII LIMITED,ID8,Software & Services
IDP EDUCATION LIMITED,IEL,Consumer Services
IDT AUSTRALIA LIMITED,IDT,"Pharmaceuticals, Biotechnology & Life Sciences"
IGNITE LIMITED,IGN,Commercial & Professional Services
IKWEZI MINING LIMITED,IKW,Energy
ILUKA RESOURCES LIMITED,ILU,Materials
IMAGE RESOURCES NL,IMA,Materials
IMDEX LIMITED,IMD,Materials
IMEXHS LIMITED,IME,Software & Services
IMF BENTHAM LIMITED,IMF,Diversified Financials
IMMURON LIMITED,IMC,"Pharmaceuticals, Biotechnology & Life Sciences"
IMMUTEP LIMITED,IMM,"Pharmaceuticals, Biotechnology & Life Sciences"
IMPACT MINERALS LIMITED,IPT,Materials
IMPEDIMED LIMITED,IPD,Health Care Equipment & Services
IMPRESSION HEALTHCARE LIMITED,IHL,Health Care Equipment & Services
IMUGENE LIMITED,IMU,"Pharmaceuticals, Biotechnology & Life Sciences"
INCA MINERALS LIMITED,ICG,Materials
INCENTIAPAY LIMITED,INP,Retailing
INCITEC PIVOT LIMITED,IPL,Materials
INDEPENDENCE GROUP NL,IGO,Materials
INDIANA RESOURCES LIMITED,IDA,Materials
INFIGEN ENERGY,IFN,Utilities
INFOMEDIA LTD,IFM,Software & Services
INFRATIL LIMITED.,IFT,Utilities
INGENIA COMMUNITIES GROUP,INA,Real Estate
INGHAMS GROUP LIMITED,ING,"Food, Beverage & Tobacco"
INSURANCE AUSTRALIA GROUP LIMITED,IAG,Insurance
INTEGRAL DIAGNOSTICS LIMITED,IDX,Health Care Equipment & Services
INTEGRATED GREEN ENERGY SOLUTIONS LTD,IGE,Commercial & Professional Services
INTEGRATED PAYMENT TECHNOLOGIES LIMITED,IP1,Software & Services
INTEGRATED RESEARCH LIMITED,IRI,Software & Services
INTELLIHR HOLDINGS LIMITED,IHR,Software & Services
INTERMIN RESOURCES LIMITED,IRC,Materials
INTIGER GROUP LIMITED,IAM,Software & Services
INTREPID MINES LIMITED,IAU,Materials
INVESTEC AUSTRALIA PROPERTY FUND,IAP,Real Estate
INVESTIGATOR RESOURCES LTD,IVR,Materials
INVESTSMART GROUP LIMITED,INV,Diversified Financials
INVICTUS ENERGY LTD,IVZ,Energy
INVIGOR GROUP LIMITED,IVO,Media & Entertainment
INVION LIMITED,IVX,"Pharmaceuticals, Biotechnology & Life Sciences"
INVITROCUE LIMITED,IVQ,"Pharmaceuticals, Biotechnology & Life Sciences"
INVOCARE LIMITED,IVC,Consumer Services
IODM LIMITED,IOD,Software & Services
IONEER LTD,INR,Materials
IOOF HOLDINGS LIMITED,IFL,Diversified Financials
IPB PETROLEUM LIMITED,IPB,Energy
IPH LIMITED,IPH,Commercial & Professional Services
IRESS LIMITED,IRE,Software & Services
IRON ROAD LIMITED,IRD,Materials
IRONBARK CAPITAL LIMITED,IBC,Not Applic
IRONBARK ZINC LTD,IBG,Materials
ISELECT LIMITED.,ISU,Consumer Services
ISENTIA GROUP LIMITED,ISD,Software & Services
ISIGNTHIS LTD,ISX,Software & Services
IVE GROUP LIMITED,IGL,Media & Entertainment
IXUP LIMITED,IXU,Software & Services
JAMES HARDIE INDUSTRIES PLC,JHX,Materials
JANISON EDUCATION GROUP LIMITED,JAN,Software & Services
JANUS HENDERSON GROUP PLC,JHG,Diversified Financials
JAPARA HEALTHCARE LIMITED,JHC,Health Care Equipment & Services
JATENERGY LIMITED,JAT,Retailing
JAXSTA LTD,JXT,Software & Services
JAYEX HEALTHCARE LIMITED,JHL,Health Care Equipment & Services
JB HI-FI LIMITED,JBH,Retailing
JCURVE SOLUTIONS LTD,JCS,Software & Services
JERVOIS MINING LIMITED,JRV,Materials
JINDALEE RESOURCES LIMITED,JRL,Materials
JOHNS LYNG GROUP LIMITED,JLG,Capital Goods
JOYCE CORPORATION LTD,JYC,Retailing
JUMBO INTERACTIVE LIMITED,JIN,Consumer Services
JUPITER MINES LIMITED.,JMS,Materials
K2 ASSET MANAGEMENT HOLDINGS LTD,KAM,Diversified Financials
K2FLY LIMITED,K2F,Software & Services
KAIROS MINERALS LIMITED,KAI,Materials
KALAMAZOO RESOURCES LIMITED,KZR,Materials
KALIA LIMITED,KLH,Energy
KALINA POWER LIMITED,KPO,Utilities
KALIUM LAKES LIMITED,KLL,Materials
KALNORTH GOLD MINES LIMITED,KGM,Materials
KANGAROO ISLAND PLANTATION TIMBERS LTD,KPT,Materials
KAROON ENERGY LTD,KAR,Energy
KASBAH RESOURCES LIMITED,KAS,Materials
KATANA CAPITAL LIMITED,KAT,Not Applic
KATHMANDU HOLDINGS LIMITED,KMD,Retailing
KAZIA THERAPEUTICS LIMITED,KZA,"Pharmaceuticals, Biotechnology & Life Sciences"
KELLY PARTNERS GROUP HOLDINGS LIMITED,KPG,Commercial & Professional Services
KEYBRIDGE CAPITAL LIMITED,KBC,Diversified Financials
KEYTONE DAIRY CORPORATION LIMITED,KTD,"Food, Beverage & Tobacco"
KGL RESOURCES LIMITED,KGL,Materials
KIBARAN RESOURCES LIMITED,KNL,Materials
KIDMAN RESOURCES LIMITED,KDR,Materials
KIN MINING NL,KIN,Materials
KINA SECURITIES LIMITED,KSL,Diversified Financials
KING ISLAND SCHEELITE LIMITED,KIS,Materials
KING RIVER RESOURCES LIMITED,KRR,Materials
KINGSGATE CONSOLIDATED LIMITED.,KCN,Materials
KINGSLAND GLOBAL LTD,KLO,Real Estate
KINGSROSE MINING LIMITED,KRM,Materials
KINGSTON RESOURCES LIMITED,KSN,Materials
KIP MCGRATH EDUCATION CENTRES LIMITED,KME,Consumer Services
KIRKLAND LAKE GOLD LTD,KLA,Materials
KLEOS SPACE S.A,KSS,Commercial & Professional Services
KNEOMEDIA LIMITED,KNM,Media & Entertainment
KNOSYS LIMITED,KNO,Software & Services
KOGAN.COM LTD,KGN,Retailing
KOGI IRON LIMITED,KFE,Materials
KOLLAKORN CORPORATION LIMITED,KKL,Technology Hardware & Equipment
KONEKT LIMITED,KKT,Health Care Equipment & Services
KOPORE METALS LIMITED,KMT,Materials
KOPPAR RESOURCES LIMITED,KRX,Materials
KORE POTASH PLC,KP2,Materials
KORVEST LTD,KOV,Capital Goods
KYCKR LIMITED,KYK,Software & Services
L1 LONG SHORT FUND LIMITED,LSF,Not Applic
LAKE RESOURCES N.L.,LKE,Materials
LAKES OIL NL,LKO,Energy
LANDMARK WHITE LIMITED,LMW,Real Estate
LANEWAY RESOURCES LTD,LNY,Materials
LASERBOND LIMITED,LBL,Capital Goods
LATAM AUTOS LIMITED,LAA,Media & Entertainment
LATIN RESOURCES LIMITED,LRS,Materials
LAWFINANCE LIMITED,LAW,Diversified Financials
LEAF RESOURCES LTD,LER,Materials
LEGACY IRON ORE LIMITED,LCY,Materials
LEGEND CORPORATION LIMITED,LGD,Capital Goods
LEGEND MINING LIMITED,LEG,Materials
LEIGH CREEK ENERGY LIMITED,LCK,Energy
LENDLEASE GROUP,LLC,Real Estate
LEPIDICO LTD,LPD,Materials
LIFESPOT HEALTH LTD,LSH,Health Care Equipment & Services
LIFESTYLE COMMUNITIES LIMITED,LIC,Real Estate
LINDIAN RESOURCES LIMITED,LIN,Materials
LINDSAY AUSTRALIA LIMITED,LAU,Transportation
LINIUS TECHNOLOGIES LIMITED,LNU,Software & Services
LINK ADMINISTRATION HOLDINGS LIMITED,LNK,Software & Services
LION ONE METALS LIMITED,LLO,Materials
LION SELECTION GROUP LIMITED.,LSX,Not Applic
LIONTOWN RESOURCES LIMITED,LTR,Materials
LIQUEFIED NATURAL GAS LIMITED,LNG,Energy
LITHIUM AUSTRALIA NL,LIT,Materials
LITHIUM CONSOLIDATED LIMITED,LI3,Materials
LITHIUM POWER INTERNATIONAL LIMITED,LPI,Materials
LIVEHIRE LIMITED,LVH,Software & Services
LIVETILES LIMITED,LVT,Software & Services
LIVING CELL TECHNOLOGIES LIMITED,LCT,"Pharmaceuticals, Biotechnology & Life Sciences"
LOCALITY PLANNING ENERGY HOLDINGS LIMITED,LPE,Utilities
LODESTAR MINERALS LIMITED,LSR,Materials
LONGTABLE GROUP LIMITED,LON,"Food, Beverage & Tobacco"
LOVISA HOLDINGS LIMITED,LOV,Retailing
LOWELL RESOURCES FUND,LRT,Not Applic
LUCAPA DIAMOND COMPANY LIMITED,LOM,Materials
LYCOPODIUM LIMITED,LYL,Capital Goods
LYNAS CORPORATION LIMITED,LYC,Materials
MACA LIMITED,MLD,Materials
MACH7 TECHNOLOGIES LIMITED,M7T,Health Care Equipment & Services
MACMAHON HOLDINGS LIMITED,MAH,Materials
MACPHERSONS RESOURCES LIMITED,MRP,Materials
MACQUARIE GROUP LIMITED,MQG,Diversified Financials
MACQUARIE TELECOM GROUP LIMITED,MAQ,Telecommunication Services
MAGELLAN FINANCIAL GROUP LIMITED,MFG,Diversified Financials
MAGELLAN GLOBAL TRUST,MGG,Not Applic
MAGMATIC RESOURCES LIMITED,MAG,Materials
MAGNETITE MINES LIMITED.,MGT,Materials
MAGNIS ENERGY TECHNOLOGIES LTD,MNS,Materials
MAINSTREAM GROUP HOLDINGS LIMITED,MAI,Diversified Financials
MAKO GOLD LIMITED,MKG,Materials
MANAS RESOURCES LIMITED,MSR,Materials
MANHATTAN CORPORATION LIMITED,MHC,Energy
MARINDI METALS LIMITED,MZN,Materials
MARINER CORPORATION LIMITED,MCX,Diversified Financials
MARLEY SPOON AG,MMM,Consumer Services
MARMOTA LIMITED,MEU,Energy
MARQUEE RESOURCES LIMITED,MQR,Materials
MASTERMYNE GROUP LIMITED,MYE,Materials
MATADOR MINING LIMITED,MZZ,Materials
MATRIX COMPOSITES & ENGINEERING LIMITED,MCE,Energy
MATSA RESOURCES LIMITED,MAT,Materials
MAXIMUS RESOURCES LIMITED,MXR,Materials
MAXITRANS INDUSTRIES LIMITED,MXI,Capital Goods
MAYFIELD CHILDCARE LIMITED,MFD,Consumer Services
MAYNE PHARMA GROUP LIMITED,MYX,"Pharmaceuticals, Biotechnology & Life Sciences"
MAYUR RESOURCES LIMITED,MRL,Materials
MCGRATH LIMITED,MEA,Real Estate
MCMILLAN SHAKESPEARE LIMITED,MMS,Commercial & Professional Services
MCP INCOME OPPORTUNITIES TRUST,MOT,Not Applic
MCP MASTER INCOME TRUST,MXT,Not Applic
MCPHERSON'S LIMITED,MCP,Consumer Durables & Apparel
MCS SERVICES LIMITED,MSG,Commercial & Professional Services
MEDADVISOR LIMITED,MDR,Health Care Equipment & Services
MEDIBANK PRIVATE LIMITED,MPL,Insurance
MEDIBIO LIMITED,MEB,Health Care Equipment & Services
MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,MVP,"Pharmaceuticals, Biotechnology & Life Sciences"
MEDILAND PHARM LIMITED,MPH,Retailing
MEDLAB CLINICAL LIMITED,MDC,"Pharmaceuticals, Biotechnology & Life Sciences"
MEDUSA MINING LIMITED,MML,Materials
MEGAPORT LIMITED,MP1,Software & Services
MELBANA ENERGY LIMITED,MAY,Energy
MEMPHASYS LIMITED.,MEM,"Pharmaceuticals, Biotechnology & Life Sciences"
MERCURY NZ LIMITED,MCY,Utilities
MERIDIAN ENERGY LIMITED,MEZ,Utilities
MESOBLAST LIMITED,MSB,"Pharmaceuticals, Biotechnology & Life Sciences"
METAL BANK LIMITED,MBK,Materials
METALICITY LIMITED,MCT,Materials
METALLICA MINERALS LIMITED,MLM,Materials
METALS AUSTRALIA LTD,MLS,Materials
METALS X LIMITED,MLX,Materials
METALSEARCH LIMITED,MSE,Materials
METALSTECH LIMITED,MTC,Materials
METCASH LIMITED,MTS,Food & Staples Retailing
METEORIC RESOURCES NL,MEI,Materials
METMINCO LIMITED,MNC,Materials
METRO MINING LIMITED,MMI,Materials
METRO PERFORMANCE GLASS LIMITED,MPP,Capital Goods
MFF CAPITAL INVESTMENTS LIMITED,MFF,Not Applic
MG UNIT TRUST,MGC,Not Applic
MGM WIRELESS LIMITED,MWR,Media & Entertainment
MICHAEL HILL INTERNATIONAL LIMITED,MHJ,Retailing
MICRO-X LIMITED,MX1,Health Care Equipment & Services
MIDDLE ISLAND RESOURCES LIMITED,MDI,Materials
MIDWAY LIMITED,MWY,Materials
MILLENNIUM MINERALS LIMITED,MOY,Materials
MILLENNIUM SERVICES GROUP LIMITED,MIL,Commercial & Professional Services
MILTON CORPORATION LIMITED,MLT,Not Applic
MINCOR RESOURCES NL,MCR,Materials
MINDAX LIMITED,MDX,Materials
MINERAL COMMODITIES LTD,MRC,Materials
MINERAL RESOURCES LIMITED,MIN,Materials
MINOTAUR EXPLORATION LTD,MEP,Materials
MINT PAYMENTS LIMITED,MNW,Software & Services
MIRRABOOKA INVESTMENTS LIMITED,MIR,Not Applic
MIRVAC GROUP,MGR,Real Estate
MITCHELL SERVICES LIMITED,MSV,Materials
MITHRIL RESOURCES LIMITED,MTH,Materials
MMA OFFSHORE LIMITED,MRM,Energy
MMJ GROUP HOLDINGS LIMITED,MMJ,Not Applic
MNF GROUP LIMITED,MNF,Telecommunication Services
MOD RESOURCES LIMITED,MOD,Materials
MOELIS AUSTRALIA LIMITED,MOE,Diversified Financials
MONADELPHOUS GROUP LIMITED,MND,Capital Goods
MONASH ABSOLUTE INVESTMENT COMPANY LIMITED,MA1,Not Applic
MONASH IVF GROUP LIMITED,MVF,Health Care Equipment & Services
MONEY3 CORPORATION LIMITED,MNY,Diversified Financials
MONT ROYAL RESOURCES LIMITED,MRZ,Materials
MORETON RESOURCES LTD,MRV,Energy
MORPHIC ETHICAL EQUITIES FUND LIMITED,MEC,Diversified Financials
MORTGAGE CHOICE LIMITED,MOC,Banks
MOTORCYCLE HOLDINGS LIMITED,MTO,Retailing
MOUNT BURGESS MINING NL,MTB,Materials
MOUNT GIBSON IRON LIMITED,MGX,Materials
MOUNT RIDLEY MINES LIMITED,MRD,Materials
MRG METALS LIMITED,MRQ,Materials
MSL SOLUTIONS LIMITED,MPW,Software & Services
MURRAY COD AUSTRALIA LIMITED,MCA,"Food, Beverage & Tobacco"
MURRAY RIVER ORGANICS GROUP LIMITED,MRG,"Food, Beverage & Tobacco"
MUSGRAVE MINERALS LIMITED,MGV,Materials
MYANMAR METALS LIMITED,MYL,Materials
MYER HOLDINGS LIMITED,MYR,Retailing
MYSTATE LIMITED,MYS,Banks
NAGAMBIE RESOURCES LIMITED,NAG,Materials
NAMOI COTTON LIMITED,NAM,Commercial & Professional Services
NANOLLOSE LIMITED,NC6,"Pharmaceuticals, Biotechnology & Life Sciences"
NANOSONICS LIMITED,NAN,Health Care Equipment & Services
NANOVEU LIMITED,NVU,Technology Hardware & Equipment
NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,NSC,Not Applic
NATIONAL AUSTRALIA BANK LIMITED,NAB,Banks
NATIONAL STORAGE REIT,NSR,Real Estate
NATIONAL TYRE & WHEEL LIMITED,NTD,Retailing
NATIONAL VETERINARY CARE LTD,NVL,Health Care Equipment & Services
NAVARRE MINERALS LIMITED,NML,Materials
NAVIGATOR GLOBAL INVESTMENTS LIMITED,NGI,Diversified Financials
NAVITAS LIMITED,NVT,Consumer Services
NB GLOBAL CORPORATE INCOME TRUST,NBI,Not Applic
NEARMAP LTD,NEA,Commercial & Professional Services
NELSON RESOURCES LIMITED.,NES,Materials
NEOMETALS LTD,NMT,Materials
NETCOMM WIRELESS LIMITED,NTC,Technology Hardware & Equipment
NETLINKZ LIMITED,NET,Software & Services
NETWEALTH GROUP LIMITED,NWL,Diversified Financials
NEUREN PHARMACEUTICALS LIMITED,NEU,"Pharmaceuticals, Biotechnology & Life Sciences"
NEUROTECH INTERNATIONAL LIMITED,NTI,Health Care Equipment & Services
NEW AGE EXPLORATION LIMITED,NAE,Energy
NEW CENTURY RESOURCES LIMITED,NCZ,Materials
NEW ENERGY MINERALS LTD,NXE,Materials
NEW ENERGY SOLAR,NEW,Utilities
NEW HOPE CORPORATION LIMITED,NHC,Energy
NEW WORLD COBALT LIMITED,NWC,Materials
NEWCREST MINING LIMITED,NCM,Materials
NEWFIELD RESOURCES LIMITED,NWF,Materials
NEWS CORPORATION..,NWS,Media & Entertainment
NEX METALS EXPLORATION LIMITED,NME,Materials
NEXT SCIENCE LIMITED,NXS,Health Care Equipment & Services
NEXTDC LIMITED,NXT,Software & Services
NEXUS MINERALS LIMITED,NXM,Materials
NGE CAPITAL LIMITED,NGE,Not Applic
NIB HOLDINGS LIMITED,NHF,Insurance
NICK SCALI LIMITED,NCK,Retailing
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,Media & Entertainment
NONI B LIMITED,NBL,Retailing
NORTHERN COBALT LIMITED,N27,Materials
NORTHERN MINERALS LIMITED,NTU,Materials
NORTHERN STAR RESOURCES LTD,NST,Materials
NORWEST ENERGY NL,NWE,Energy
NORWEST MINERALS LIMITED,NWM,Materials
NORWOOD SYSTEMS LIMITED,NOR,Software & Services
NOVA MINERALS LIMITED,NVA,Materials
NOVITA HEALTHCARE LIMITED,NHL,Health Care Equipment & Services
NOVONIX LIMITED,NVX,Technology Hardware & Equipment
NOXOPHARM LIMITED,NOX,"Pharmaceuticals, Biotechnology & Life Sciences"
NUCOAL RESOURCES LIMITED,NCR,Materials
NUENERGY GAS LIMITED,NGY,Energy
NUFARM LIMITED,NUF,Materials
NUHEARA LIMITED,NUH,Technology Hardware & Equipment
NUSANTARA RESOURCES LIMITED,NUS,Materials
NVOI LTD,NVO,Media & Entertainment
NZME LIMITED,NZM,Media & Entertainment
NZURI COPPER LIMITED,NZC,Materials
OBJ LIMITED,OBJ,"Pharmaceuticals, Biotechnology & Life Sciences"
OBJECTIVE CORPORATION LIMITED,OCL,Software & Services
OCEAN GROWN ABALONE LIMITED,OGA,"Food, Beverage & Tobacco"
OCEANAGOLD CORPORATION,OGC,Materials
